Key;En;Ru;De;Fr;Es;Pt;Pl;Uk;Zh;Ja
desc.dualsense;Advanced tool for Sony DualSense (battery, LED) and essential udev rules for all gamepads;Утилита для Sony DualSense (батарея, LED) и необходимые правила udev для геймпадов;Erweitertes Werkzeug für Sony DualSense (Akku, LED) und wichtige udev-Regeln für alle Gamepads;Outil avancé pour Sony DualSense (batterie, LED) et règles udev essentielles pour toutes les manettes;Herramienta avanzada para Sony DualSense (batería, LED) y reglas udev esenciales para todos los mandos;Ferramenta avançada para Sony DualSense (bateria, LED) e regras udev essenciais para todos os gamepads;Zaawansowane narzędzie dla Sony DualSense (bateria, LED) i niezbędne reguły udev dla wszystkich gamepadów;Утиліта для Sony DualSense (батарея, LED) та необхідні правила udev для геймпадів;Sony DualSense的高级工具（电池、LED）以及所有游戏手柄的基本udev规则;Sony DualSense（バッテリー、LED）用の高度なツール、およびすべてのゲームパッドの必須udevルール
desc.xone;Modern Linux driver for Xbox One and Series X|S controllers (supports official wireless dongle);Современный драйвер для геймпадов Xbox One и Series X|S (поддержка официального донгла);Moderner Linux-Treiber für Xbox One und Series X|S Controller (unterstützt offiziellen WLAN-Dongle);Pilote Linux moderne pour les manettes Xbox One et Series X|S (prend en charge le dongle sans fil officiel);Moderno controlador Linux para mandos de Xbox One y Series X|S (soporta el adaptador inalámbrico oficial);Driver Linux moderno para controles de Xbox One e Series X|S (suporta dongle sem fio oficial);Nowoczesny sterownik Linux dla kontrolerów Xbox One i Series X|S (obsługuje oficjalny klucz bezprzewodowy);Сучасний драйвер для геймпадів Xbox One і Series X|S (підтримка офіційного донгла);适用于Xbox One和Series X|S控制器的现代Linux驱动程序（支持官方无线接收器）;Xbox OneおよびSeries X|Sコントローラー用のモダンLinuxドライバー（公式ワイヤレスドングルをサポート）
desc.broadcom;Proprietary Broadcom wireless drivers for troublesome Wi-Fi chipsets (BCM43142, BCM43224, etc.);Проприетарные драйверы Broadcom для проблемных Wi-Fi чипсетов;Proprietäre Broadcom-WLAN-Treiber für problematische Wi-Fi-Chipsätze;Pilotes sans fil Broadcom propriétaires pour les chipsets Wi-Fi problématiques;Controladores inalámbricos propietarios de Broadcom para conjuntos de chips Wi-Fi problemáticos;Drivers sem fio proprietários da Broadcom para chipsets Wi-Fi problemáticos;Zastrzeżone sterowniki bezprzewodowe Broadcom dla problematycznych chipsetów Wi-Fi;Пропрієтарні драйвери Broadcom для проблемних Wi-Fi чипсетів;用于麻烦的Wi-Fi芯片组的专有Broadcom无线驱动程序;問題のあるWi-Fiチップセット用のプロプライエタリBroadcomワイヤレスドライバー
desc.solaar;Device manager for Logitech Unifying, Bolt, and Lightspeed receivers (battery, DPI, pairing);Менеджер устройств для приемников Logitech Unifying, Bolt и Lightspeed (заряд, DPI, сопряжение);Gerätemanager für Logitech Unifying-, Bolt- und Lightspeed-Empfänger (Akku, DPI, Kopplung);Gestionnaire de périphériques pour les récepteurs Logitech Unifying, Bolt et Lightspeed;Gestor de dispositivos para receptores Logitech Unifying, Bolt y Lightspeed;Gerenciador de dispositivos para receptores Logitech Unifying, Bolt e Lightspeed;Menedżer urządzeń dla odbiorników Logitech Unifying, Bolt i Lightspeed;Менеджер пристроїв для приймачів Logitech Unifying, Bolt та Lightspeed;用于Logitech Unifying、Bolt和Lightspeed接收器的设备管理器;Logitech Unifying、Bolt、およびLightspeedレシーバーのデバイスマネージャー
desc.openrazer;Open-source driver and graphical frontend for Razer mice, keyboards, and headsets (RGB and macros);Драйвер с открытым исходным кодом и интерфейс для периферии Razer (RGB и макросы);Open-Source-Treiber und grafisches Frontend für Razer-Mäuse, -Tastaturen und -Headsets;Pilote open-source et interface graphique pour souris, claviers et casques Razer;Controlador de código abierto e interfaz gráfica para ratones, teclados y auriculares Razer;Driver de código aberto e frontend gráfico para mouses, teclados e fones de ouvido Razer;Sterownik open source i nakładka graficzna dla myszy, klawiatur i zestawów słuchawkowych Razer;Драйвер з відкритим вихідним кодом та інтерфейс для периферії Razer (RGB та макроси);Razer鼠标、键盘和耳机的开源驱动程序和图形前端（RGB和宏）;Razerマウス、キーボード、ヘッドセット用のオープンソースドライバーおよびグラフィカルフロントエンド
desc.wacom;Official Linux drivers and libraries for Wacom graphics tablets and drawing displays;Официальные Linux-драйверы и библиотеки для графических планшетов Wacom;Offizielle Linux-Treiber und -Bibliotheken für Wacom-Grafiktabletts und -Zeichnungsbildschirme;Pilotes et bibliothèques Linux officiels pour les tablettes graphiques et écrans interactifs Wacom;Controladores y bibliotecas oficiales de Linux para tabletas gráficas Wacom y pantallas interactivas;Drivers e bibliotecas oficiais do Linux para mesas digitalizadoras Wacom e telas de desenho;Oficjalne sterowniki i biblioteki Linux dla tabletów graficznych i wyświetlaczy piórkowych Wacom;Офіційні Linux-драйвери та бібліотеки для графических планшетів Wacom;用于Wacom数位板和绘图显示器的官方Linux驱动程序和库;Wacomペンタブレットおよび液晶ペンタブレットの公式Linuxドライバーとライブラリ
desc.displaylink;Drivers for DisplayLink USB docking stations and external monitors;Драйверы для USB док-станций DisplayLink и внешних мониторов;Treiber für DisplayLink USB-Dockingstationen und externe Monitore;Pilotes pour stations d'accueil USB DisplayLink et moniteurs externes;Controladores para estaciones de acoplamiento USB DisplayLink y monitores externos;Drivers para estações de acoplamento USB DisplayLink e monitores externos;Sterowniki dla stacji dokujących USB DisplayLink i monitorów zewnętrznych;Драйвери для USB док-станцій DisplayLink та зовнішніх моніторів;用于DisplayLink USB扩展坞和外部显示器的驱动程序;DisplayLink USBドッキングステーションおよび外部モニターのドライバー
ui.update_all;Update System;Обновить систему;System aktualisieren;Mettre à jour le système;Actualizar sistema;Atualizar sistema;Aktualizuj system;Оновити систему;更新系统;システム更新
ui.update_title;System Update;Обновление системы;Systemupdate;Mise à jour système;Actualización del sistema;Atualização do sistema;Aktualizacja systemu;Оновлення системи;系统更新;システム更新
ui.update_desc;Are you sure you want to update all system packages (Pacman, AUR, Flatpak, Snap)?;Вы уверены, что хотите обновить все системные пакеты (Pacman, AUR, Flatpak, Snap)?;Sind Sie sicher, dass Sie alle Systempakete (Pacman, AUR, Flatpak, Snap) aktualisieren möchten?;Voulez-vous vraiment mettre à jour tous les paquets du système (Pacman, AUR, Flatpak, Snap) ?;¿Estás seguro de que quieres actualizar todos los paquetes del sistema (Pacman, AUR, Flatpak, Snap)?;Tem certeza de que deseja atualizar todos os pacotes do sistema (Pacman, AUR, Flatpak, Snap)?;Czy na pewno chcesz zaktualizować wszystkie pakiety systemowe (Pacman, AUR, Flatpak, Snap)?;Ви впевнені, що хочете оновити всі системні пакети (Pacman, AUR, Flatpak, Snap)?;您确定要更新所有系统包 (Pacman, AUR, Flatpak, Snap) 吗？;すべてのシステムパッケージ (Pacman, AUR, Flatpak, Snap) を更新してもよろしいですか？
ui.cancel;Cancel;Отмена;Abbrechen;Annuler;Cancelar;Cancelar;Anuluj;Скасувати;取消;キャンセル
ui.confirm;Update;Обновить;Aktualisieren;Mettre à jour;Actualizar;Atualizar;Aktualizuj;Оновити;更新;更新
